symptoms,possible_conditions,red_flags,recommended_questions,next_steps,confidence_level
"high fever, persistent cough, difficulty breathing","Pneumonia, COVID-19, Bronchitis","Difficulty breathing, High fever","How long have you had the fever?,Are you experiencing chest pain?","Seek immediate medical attention, Chest X-ray","high"
"sore throat, runny nose, sneezing","Common Cold, Allergies","","Do you have a fever?,Are your lymph nodes swollen?","Rest, hydrate, over-the-counter medication","medium"
"sharp chest pain, shortness of breath, pain in left arm","Heart Attack, Angina","Sharp chest pain, Pain in left arm","Does the pain get worse with activity?,Do you have a history of heart disease?","Call emergency services immediately","high"
"abdominal pain, nausea, vomiting","Gastroenteritis, Food Poisoning","Severe abdominal pain","Have you traveled recently?,Is there blood in your vomit?","Stay hydrated, eat bland foods, see a doctor if symptoms persist","medium"
"frequent urination, excessive thirst, unexplained weight loss","Diabetes Mellitus","Unexplained weight loss","Do you have blurry vision?,Are you experiencing fatigue?","Consult a doctor for a blood sugar test","high"
"headache, dizziness, blurred vision","Migraine, High Blood Pressure","Sudden severe headache","Is the headache on one side of your head?,Are you sensitive to light or sound?","Rest in a dark room, check blood pressure, consult a doctor","medium"
"lower back pain, pain radiating down leg","Sciatica, Herniated Disc","Loss of bladder control","Does the pain worsen when you sit?,Do you have any numbness or tingling?","Physical therapy, pain medication, consult a specialist","medium"
"rash, itching, hives","Allergic Reaction, Eczema","Swelling of the face or throat","Have you been exposed to any new substances?,Do you have any other symptoms?","Antihistamines, avoid the allergen, see a doctor if severe","low"
"fatigue, pale skin, weakness","Anemia","","Do you have shortness of breath?,Are your hands and feet cold?","Iron supplements, blood test, dietary changes","medium"
"joint pain, swelling, stiffness","Arthritis","","Is the pain worse in the morning?,Do you have a family history of arthritis?","Anti-inflammatory medication, physical therapy","medium"
"sudden numbness or weakness in the face, arm, or leg","Stroke","Sudden numbness or weakness","Do you have trouble speaking or understanding?,Is your vision affected?","Call emergency services immediately","high"
"coughing up blood, chest pain, weight loss","Tuberculosis, Lung Cancer","Coughing up blood","Have you been in contact with someone with TB?,Do you have a history of smoking?","Immediate medical evaluation required","high"
"memory loss, confusion, personality changes","Dementia, Alzheimer's Disease","Rapid cognitive decline","Is there a family history of dementia?,Are daily activities affected?","Neurological assessment, consult a specialist","medium"
"shortness of breath, wheezing, chest tightness","Asthma","Severe shortness of breath","Do you use an inhaler?,What triggers your symptoms?","Use a rescue inhaler, seek medical help if severe","medium"
"burning sensation during urination, frequent urge to urinate","Urinary Tract Infection (UTI)","Fever, Back pain","Is there blood in your urine?,Are you pregnant?","Antibiotics, drink plenty of water","low"
"insomnia, restlessness, persistent sadness","Depression, Anxiety","Suicidal thoughts","How long have you been feeling this way?,Have you lost interest in activities you once enjoyed?","Seek mental health support, therapy, medication","medium"
"double vision, eye pain, halos around lights","Glaucoma","Sudden vision loss","Do you have a family history of glaucoma?,Are you experiencing nausea?","Immediate ophthalmologist consultation","high"
"swollen glands, fever, fatigue","Mononucleosis (Mono)","Enlarged spleen","Have you shared drinks or utensils with others?,How long have you had symptoms?","Rest, fluids, avoid strenuous activity","medium"
"irregular heartbeat, palpitations, dizziness","Atrial Fibrillation","Fainting, Chest pain","Do you consume a lot of caffeine?,Do you have high blood pressure?","Consult a cardiologist, ECG","high"
"diarrhea, abdominal cramps, bloating","Irritable Bowel Syndrome (IBS)","Blood in stool","Do certain foods trigger your symptoms?,Have you lost weight without trying?","Dietary changes, stress management, medication","low"
"dry cough, body aches, headache","Influenza (Flu)","High fever, Difficulty breathing","Have you had a flu shot?,Are you around sick people?","Rest, fluids, antiviral medication if prescribed","medium"
"numbness and tingling in hands and feet, muscle weakness","Peripheral Neuropathy","Difficulty walking","Do you have diabetes?,Do you drink alcohol excessively?","Consult a neurologist, manage underlying conditions","medium"
"jaundice, abdominal swelling, dark urine","Liver Disease","Vomiting blood","Do you have a history of hepatitis?,Do you consume alcohol heavily?","Immediate medical attention, liver function tests","high"
"hoarseness, sore throat, difficulty swallowing","Laryngitis","Difficulty breathing","Have you been shouting or singing loudly?,Do you smoke?","Voice rest, hydration, lozenges","low"
"unintended muscle movements, tremors, stiffness","Parkinson's Disease","Difficulty with balance","Do you have a 'pill-rolling' tremor?,Is your handwriting smaller?","Neurological evaluation, medication, physical therapy","medium"
"severe pain in the side and back, below the ribs","Kidney Stones","Fever and chills","Is there pain or burning during urination?,Is your urine pink, red, or brown?","Pain relief, hydration, medical procedure if needed","high"
"excessive sweating, nervousness, weight loss despite increased appetite","Hyperthyroidism","Rapid or irregular heartbeat","Do you have bulging eyes?,Are you sensitive to heat?","Blood test for thyroid hormones, consult an endocrinologist","medium"
"widespread muscle pain and tenderness, fatigue","Fibromyalgia","Cognitive difficulties ('fibro fog')","Do you have trouble sleeping?,Are you experiencing headaches?","Pain management, exercise, stress reduction techniques","low"
"blisters on the skin, often in a stripe pattern","Shingles (Herpes Zoster)","Pain that persists after the rash is gone","Did you have chickenpox as a child?,Is the rash near your eye?","Antiviral medication, pain relief, see a doctor promptly","medium"
"feeling of a lump in the throat, difficulty swallowing","Goiter, Thyroid Nodule","Difficulty breathing","Is there visible swelling at the base of your neck?,Has your voice changed?","Ultrasound of the thyroid, blood tests","medium"
"patches of red, itchy, and scaly skin","Psoriasis","Joint pain","What triggers your flare-ups?,Have you tried any topical treatments?","Topical creams, light therapy, systemic medications","low"
"lightheadedness, fainting, blurred vision upon standing","Orthostatic Hypotension","Falls, Chest pain","Are you on any new medications?,Are you dehydrated?","Increase fluid and salt intake, check medications, stand up slowly","medium"
"tingling or itching in the mouth, swelling of the lips","Oral Allergy Syndrome","Anaphylaxis","Does this happen with raw fruits or vegetables?,Do you have a known pollen allergy?","Avoid trigger foods, have an antihistamine ready","low"
"sudden, severe joint pain, typically in the big toe","Gout","Redness and swelling","Do you eat a diet high in purines (red meat, seafood)?,Do you drink alcohol?","Anti-inflammatory drugs, lifestyle changes","medium"
"persistent heartburn, regurgitation of food or sour liquid","Gastroesophageal Reflux Disease (GERD)","Difficulty swallowing, Chest pain","Do your symptoms worsen when you lie down?,Do you smoke or are you overweight?","Dietary changes, antacids, prescription medication","low"
"painful menstrual periods, pelvic pain","Endometriosis","Pain during intercourse","Is the pain cyclical with your period?,Do you have difficulty getting pregnant?","Pain medication, hormone therapy, possible surgery","medium"
"confusion, agitation, hallucinations","Delirium","Fluctuating level of consciousness","Is there a new infection or illness?,Has there been a change in medication?","Treat underlying cause, supportive care, reorientation","high"
"itchy, watery eyes, sneezing, nasal congestion","Allergic Rhinitis (Hay Fever)","","Are your symptoms seasonal?,Have you been around pets or dust?","Antihistamines, nasal sprays, avoiding allergens","low"
"pain and tenderness over a sinus area, nasal obstruction","Sinusitis","Fever, Severe headache","How long have you had symptoms?,Is your nasal discharge green or yellow?","Decongestants, nasal saline rinse, antibiotics if bacterial","low"
"hair loss in patches, thinning hair","Alopecia Areata, Male/Female Pattern Baldness","","Is there a family history of hair loss?,Are you under significant stress?","Topical treatments, medication, consult a dermatologist","low"
"involuntary leakage of urine","Urinary Incontinence","","Does it happen when you cough, sneeze, or laugh?,Do you feel a sudden, strong urge to urinate?","Pelvic floor exercises, lifestyle changes, medication","low"
"cracks or sores at the corners of the mouth","Angular Cheilitis","","Do you have a yeast infection?,Are you deficient in certain vitamins?","Antifungal cream, vitamin supplements","low"
"a spinning sensation, loss of balance","Vertigo","Hearing loss, Ringing in the ears","Does it occur with head movements?,How long do the episodes last?","Vestibular rehabilitation, medication, Epley maneuver","medium"
"canker sores, mouth ulcers","Aphthous Stomatitis","","Are the sores recurrent?,Do they cause significant pain?","Topical anesthetics, avoiding trigger foods","low"
"excessive sleepiness during the day, sudden muscle weakness","Narcolepsy","Sleep paralysis","Do you have vivid dreams?,Do you fall asleep unexpectedly?","Lifestyle adjustments, medication, sleep studies","medium"
"involuntary tics, vocalizations","Tourette Syndrome","","Are the tics simple or complex?,When did they start?","Behavioral therapy, medication if tics are severe","low"
"painful, swollen, and red skin, usually on the lower legs","Cellulitis","Fever, Spreading redness","Do you have a cut or break in the skin?,Do you have diabetes?","Antibiotics, keep the area clean and elevated","medium"
"a grating sound or sensation produced by friction between bone and cartilage","Crepitus","Pain, Swelling","Is it associated with a specific joint?,Does it limit your movement?","Physical therapy, anti-inflammatory medication","low"
"a feeling of being detached from oneself","Depersonalization/Derealization Disorder","","Is it triggered by stress or trauma?,Does the world feel unreal?","Therapy, stress management","low"
"anxiety about being in places or situations from which escape might be difficult","Agoraphobia","Panic attacks","Do you avoid certain places?,Do you fear being alone in public?","Cognitive-behavioral therapy (CBT), medication","medium"
"difficulty falling asleep or staying asleep","Insomnia","","What is your sleep routine?,Do you consume caffeine or alcohol before bed?","Improve sleep hygiene, CBT for insomnia (CBT-I)","low"
"high fever, headache, rash that starts on the wrists and ankles","Rocky Mountain Spotted Fever","","Have you been bitten by a tick?,Have you been in wooded or grassy areas?","Immediate antibiotic treatment is critical","high"
"pain in the ear, drainage from the ear canal","Otitis Externa (Swimmer's Ear)","Hearing loss","Have you been swimming recently?,Do you use cotton swabs in your ears?","Antibiotic ear drops, keep the ear dry","low"
"loss of smell or taste","Anosmia/Ageusia","","Did it follow a viral infection like a cold or COVID-19?,Do you have nasal polyps?","Treat underlying cause, smell training","low"
"a burning or tingling sensation, often in the hands or feet","Paresthesia","Numbness, Weakness","Is it constant or intermittent?,Do you have any underlying medical conditions?","Address the underlying cause","medium"
"a collection of pus that has built up within the tissue of the body","Abscess","Redness, Swelling, Pain, Fever","Is it warm to the touch?,Is there a visible head or point?","Incision and drainage by a healthcare professional, antibiotics","medium"
"bluish discoloration of the skin","Cyanosis","Shortness of breath, Chest pain","Is it in a specific area or all over?,Did it appear suddenly?","Administer oxygen, treat the underlying cause immediately","high"
"dry, itchy skin, especially in winter","Xerosis (Dry Skin)","","Do you take long, hot showers?,Do you use a moisturizer?","Moisturize regularly, use lukewarm water for bathing","low"
"an uncomfortable urge to move the legs, typically in the evenings","Restless Legs Syndrome (RLS)","","Does movement relieve the sensation?,Do you have trouble sleeping?","Lifestyle changes, iron supplements if deficient, medication","low"
"painful muscle cramps or spasms","Muscle Spasms","","Are you dehydrated?,Have you overexerted your muscles?","Stretching, hydration, massage","low"
"bad breath","Halitosis","","What is your oral hygiene routine?,Do you have a dry mouth?","Improve dental hygiene, stay hydrated, see a dentist","low"
"a non-cancerous lump, often on the hands or feet","Ganglion Cyst","","Is it painful?,Does it change in size?","Observation, aspiration, or surgical removal if problematic","low"
"swelling in the arms or legs","Lymphedema","","Have you had surgery or radiation therapy?,Is there a history of infection in the limb?","Compression garments, manual lymphatic drainage, exercise","medium"
"a yellowing of the skin and eyes","Jaundice","Dark urine, Pale stools","Do you have abdominal pain?,Do you feel fatigued?","Investigate the underlying liver or gallbladder issue","high"
"a ringing or buzzing noise in one or both ears","Tinnitus","Hearing loss","Have you been exposed to loud noises?,Are you taking any new medications?","Hearing aids, sound therapy, address underlying causes","low"
"pain or discomfort in the chest that is not heart-related","Noncardiac Chest Pain","","Is the pain related to eating?,Does stress make it worse?","Address GERD or anxiety if present, pain relievers","low"
"a coarse, leathery feeling of the skin","Lichenification","Itching","Is it from chronic scratching?,Do you have eczema?","Treat the underlying skin condition, stop scratching","low"
"an inflammatory skin condition causing pimples and redness","Rosacea","Visible blood vessels","What triggers your flare-ups (e.g., sun, spicy food)?,Do you have eye irritation?","Topical medications, avoiding triggers, laser therapy","low"
"a small, hard lump on the eyelid","Chalazion","","Is it painful?,Does it affect your vision?","Warm compresses, massage, may require medical procedure","low"
"a deficiency of red blood cells or hemoglobin","Anemia","Fatigue, Shortness of breath, Pale skin","What is your diet like?,Do you have heavy menstrual periods?","Iron supplements, dietary changes, blood tests","medium"
"a condition in which the thyroid gland doesn't produce enough thyroid hormone","Hypothyroidism","Fatigue, Weight gain, Cold intolerance","Do you have dry skin or hair loss?,Is there a family history of thyroid issues?","Thyroid hormone replacement therapy, blood tests","medium"
"a bacterial infection of the stomach","H. pylori Infection","Stomach pain, Bloating, Nausea","Do you have frequent burping?,Do you experience a burning pain in your stomach?","Antibiotics, acid-suppressing medication","medium"
"a lung infection caused by a fungus","Histoplasmosis","Fever, Cough, Fatigue","Have you been exposed to bird or bat droppings?,Do you live in an area where this fungus is common?","Antifungal medication for severe cases, often resolves on its own","medium"
"a sleep disorder characterized by pauses in breathing","Sleep Apnea","Loud snoring, Daytime sleepiness","Has anyone told you that you stop breathing in your sleep?,Do you wake up with a headache?","CPAP machine, lifestyle changes, sleep study","medium"
"inflammation of the gallbladder","Cholecystitis","Severe pain in the upper right abdomen, Fever, Nausea","Does the pain worsen after eating a fatty meal?,Is your skin yellow?","Hospitalization, fasting, antibiotics, possibly surgery","high"
"inflammation of the pancreas","Pancreatitis","Upper abdominal pain that radiates to your back, Fever","Is the pain worse after eating?,Do you have a history of gallstones or heavy alcohol use?","Hospitalization, pain management, IV fluids","high"
"a type of food poisoning caused by a toxin from a specific bacterium","Botulism","Double vision, Blurred vision, Drooping eyelids, Slurred speech","Have you eaten improperly canned or preserved food?,Is there muscle weakness?","Immediate medical attention, antitoxin","high"
"a sexually transmitted infection that can cause sores","Genital Herpes","Painful sores or blisters in the genital area","Do you have flu-like symptoms?,Are the sores recurrent?","Antiviral medication to manage outbreaks","low"
"an autoimmune disease that attacks the thyroid","Hashimoto's Thyroiditis","Fatigue, Weight gain","Do you have a goiter (enlarged thyroid)?,Is there a family history of autoimmune diseases?","Thyroid hormone replacement","medium"
"a condition that causes pain on the outside of the elbow","Tennis Elbow (Lateral Epicondylitis)","","Do you perform repetitive arm movements?,Does gripping objects cause pain?","Rest, ice, physical therapy","low"
"a condition that causes pain in the ball of your foot","Metatarsalgia","","Do you wear high heels or ill-fitting shoes?,Are you a runner?","Proper footwear, orthotics, rest","low"
"a fungal infection of the skin, hair, or nails","Ringworm (Tinea)","Itchy, red, circular rash","Have you been in contact with an infected person or animal?,Is the rash scaly?","Antifungal creams or oral medication","low"
"a blood clot that forms in a vein deep in the body","Deep Vein Thrombosis (DVT)","Swelling, Pain, Redness in one leg","Have you been immobile for a long period?,Do you have a history of blood clots?","Anticoagulant medication, hospitalization","high"
"a condition where the body produces too much cortisol","Cushing's Syndrome","Weight gain, Thin skin, Pink or purple stretch marks","Do you have a fatty hump between your shoulders?,Do you bruise easily?","Reduce corticosteroid use if applicable, surgery, or medication","medium"
"a rare disorder where the body's immune system attacks your nerves","Guillain-Barré Syndrome","Weakness and tingling in your extremities","Is the weakness spreading rapidly?,Are you having trouble breathing?","Immediate hospitalization required","high"
"a viral infection that causes a painful rash","Shingles","Pain, burning, numbness or tingling","Have you had chickenpox before?","Antiviral drugs, pain relievers","medium"
"a condition in which the bones become weak and brittle","Osteoporosis","Back pain, loss of height over time","Do you have a family history of osteoporosis?","Calcium and vitamin D supplements, weight-bearing exercises, medication","medium"
"inflammation of the appendix","Appendicitis","Sudden pain that begins on the right side of the lower abdomen","Is the pain worsening? Do you have a fever?","Surgical removal of the appendix","high"
"an infection of the thin layer of tissue that covers the brain and spinal cord","Meningitis","Fever, headache, and stiff neck","Are you sensitive to light? Do you have a rash?","Immediate medical attention, antibiotics","high"
"a condition that affects the way your body processes sugar","Diabetes","Frequent urination, increased thirst, and unexplained weight loss","Do you have blurry vision?","Diet, exercise, medication, and insulin therapy","high"
"high blood pressure","Hypertension","Often has no symptoms, but can cause headaches or shortness of breath","What are your blood pressure readings?","Lifestyle changes and medication","medium"
"a chronic inflammatory lung disease that causes obstructed airflow from the lungs","COPD","Shortness of breath, wheezing, or a chronic cough","Do you smoke or have a history of smoking?","Smoking cessation, inhalers, and oxygen therapy","medium"
"a skin condition that causes cells to build up rapidly on the surface of the skin","Psoriasis","Red, itchy scaly patches","Are there triggers for your flare-ups?","Topical ointments, light therapy, and medications","low"
"a chronic condition that affects the large intestine","Irritable Bowel Syndrome (IBS)","Cramping, abdominal pain, bloating, gas, and diarrhea or constipation","Do certain foods trigger symptoms?","Diet management, stress reduction, and medication","low"
"a common sleep disorder","Insomnia","Difficulty falling asleep, staying asleep, or both","What is your sleep schedule like?","Behavioral therapy, sleep hygiene, and sometimes medication","low"
"a mental health condition","Anxiety","Excessive worry, fear, and nervousness","How often do you experience these feelings?","Therapy, medication, and stress management techniques","medium"
"a neurological disorder","Migraine","Severe, throbbing headaches, often accompanied by nausea, vomiting, and sensitivity to light and sound","What triggers your migraines?","Pain-relieving and preventive medications","medium"
"a common viral infection of the nose and throat","Common Cold","Runny or stuffy nose, sore throat, cough","Have you been around sick people?","Rest, fluids, and over-the-counter remedies","low"
"a contagious respiratory illness caused by influenza viruses","Influenza (Flu)","Fever, cough, sore throat, muscle aches, and fatigue","Have you had your flu shot?","Antiviral drugs, rest, and fluids","medium"
"an infection in any part of the urinary system","Urinary Tract Infection (UTI)","A strong, persistent urge to urinate, a burning sensation when urinating","Is there blood in your urine?","Antibiotics","low"
"an infection of the air sacs in one or both lungs","Pneumonia","Cough, fever, chills, and difficulty breathing","Have you had a recent cold or flu?","Antibiotics, rest, and fluids","medium"
"a skin condition that occurs when your hair follicles become plugged with oil and dead skin cells","Acne","Pimples, blackheads, or whiteheads","What is your skincare routine?","Over-the-counter creams and cleansers, prescription medications","low"
"a type of arthritis that occurs when flexible tissue at the ends of bones wears down","Osteoarthritis","Pain, stiffness, and swelling in your joints","Is the pain worse after activity?","Physical therapy, medication, and sometimes surgery","medium"
"a long-term autoimmune disease in which the body's immune system becomes hyperactive and attacks normal, healthy tissue","Lupus","Fatigue, joint pain, rash, and fever","Do you have a butterfly-shaped rash on your face?","Medication to reduce inflammation and suppress the immune system","medium"
"a condition in which stomach acid frequently flows back into the tube connecting your mouth and stomach","GERD","Heartburn, chest pain, and difficulty swallowing","Do certain foods make it worse?","Lifestyle changes and medication","low"
"a group of diseases that affect the heart","Heart Disease","Can include conditions such as coronary artery disease, heart failure, and arrhythmias","Do you have high blood pressure or high cholesterol?","Lifestyle changes, medication, and sometimes surgery","high"

    